#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
	ᎤᎿ ᎠᏍᎦᏯ ᏥᎪᏩᏘᎭ ᎠᎴ ᏅᏯ Ꮵ̣ᎪᏩᏘᎭ.	uhna-asgaya-nvya			There a man, him I see and a rock, it I see.	
	ᎤᎿ ᎠᏍᎦᏯ ᏥᎪᏩᏘᎭ.	uhna-asgaya			There a man, him I see.	
	ᎤᎿ ᎩᏟ ᎦᏥᎪᏩᏘᎭ ᎠᎴ ᏅᏯ ᏕᏥ̣ᎪᏩᏘᎭ.	uhna-gihli-nvya			There dogs, them I see and rocks, them I see.	
	ᎤᎿ ᏅᏯ ᏕᏥ̣ᎪᏩᏘᎭ.	uhna-nvya-dejigowhtiha			There rocks, them I see.	
	ᎤᎿ ᏅᏯ Ꮵ̣ᎪᏩᏘᎭ.	uhna-nvya-jigowhtiha			There a rock, it I see.	
	ᎤᎿ ᏪᏌ ᎦᏥᎪᏩᏘᎭ.	uhna-wesa-gajigowhtiha			There cats, them I see.	
	ᎤᎿ ᏪᏌ ᏥᎪᏩᏘᎭ.	uhna-wesa-jigowhtiha			There a cat, it I see.	
	ᎦᏙ ᎤᎾᏍᏗ ᎦᎯᎪᏩᏘᎭ?	gado-unsdi-gahiigowhtiha			What all (animate) do you see?	
	ᎦᏙ ᎤᏍᏗ ᎯᎪᏩᏘᎭ?	gado-usdi-hiigowhtiha			What (animate) do you see?	
	ᎦᏙ ᎤᏍᏗ Ꭿ̣ᎪᏩᏘᎭ?	gado-usdi-higowhtiha			What (inanimate) do you see?	
	ᎦᏙ ᏧᏍᏗ ᏕᎯ̣ᎪᏩᏘᎭ?	gado-jusdi-dehigowhtiha			What all (inanimate) do you see?	
	ᎦᏙ ᎤᎾᏍᏗ ᎦᏥᎪᏩᏘᎭ?	gado-unsdi-gajiigowhtiha			What all (animate) do I see?	
	ᎦᏙ ᎤᏍᏗ ᏥᎪᏩᏘᎭ?	gado-usdi-jiigowhtiha			What (animate) do I see?	
